date,description,withdrawal,deposit,balance
2025-07-05,TRANSFER TO SAVINGS,813.56,0.0,4186.44
2025-07-06,LOAN PROCEEDS,0.0,2290.28,6476.72
2025-07-07,TRANSFER FROM SAVINGS,0.0,2126.85,8603.57
2025-07-08,INTEREST PAYMENT - Fuentes Inc,0.0,338.46,8942.03
2025-07-08,DIVIDEND PAYMENT - Roman LLC,0.0,4511.81,13453.84
2025-07-08,SALARY DEPOSIT,0.0,1430.67,14884.51
2025-07-08,INTEREST PAYMENT - Williams Group,0.0,4780.29,19664.8
2025-07-09,CHECK DEPOSIT,0.0,4746.04,24410.84
2025-07-11,CHECK DEPOSIT,0.0,1791.4,26202.24
2025-07-11,UTILITY BILL,95.03,0.0,26107.21
2025-07-11,SUBSCRIPTION FEE,321.11,0.0,25786.1
2025-07-11,DIVIDEND PAYMENT - Avila-James,0.0,1484.69,27270.79
2025-07-12,CUSTOMER PAYMENT - Nguyen-Hernandez,0.0,795.06,28065.85
2025-07-12,REFUND,0.0,890.98,28956.83
2025-07-12,LOAN PROCEEDS,0.0,1663.55,30620.38
2025-07-14,LOAN PROCEEDS,0.0,3822.06,34442.44
2025-07-15,"CUSTOMER PAYMENT - Goodwin, Schmitt and Arnold",0.0,1387.49,35829.93
2025-07-15,CASH DEPOSIT,0.0,4001.25,39831.18
2025-07-16,TRANSFER FROM SAVINGS,0.0,243.18,40074.36
2025-07-16,UTILITY BILL,869.98,0.0,39204.38
2025-07-18,CUSTOMER PAYMENT - Peterson PLC,0.0,1361.09,40565.47
2025-07-19,REFUND,0.0,1716.14,42281.61
2025-07-19,INTEREST PAYMENT - White LLC,0.0,1535.7,43817.31
2025-07-20,TRANSFER FROM SAVINGS,0.0,3181.48,46998.79
2025-07-22,CHECK DEPOSIT,0.0,1680.37,48679.16
2025-07-22,CHECK PAYMENT - Nelson-Hanna,1549.31,0.0,47129.85
2025-07-22,INSURANCE PREMIUM,907.12,0.0,46222.73
2025-07-22,"DEBIT CARD PURCHASE - Watson, Mcfarland and Johnson",1304.59,0.0,44918.14
2025-07-23,LOAN PROCEEDS,0.0,1858.7,46776.84
2025-07-23,ATM WITHDRAWAL,1332.0,0.0,45444.84
2025-07-23,CREDIT CARD PAYMENT - Tate Inc,820.07,0.0,44624.77
2025-07-24,TRANSFER FROM SAVINGS,0.0,3501.05,48125.82
2025-07-25,CASH DEPOSIT,0.0,2727.49,50853.31
2025-07-25,REFUND,0.0,1513.85,52367.16
2025-07-27,REFUND,0.0,2072.88,54440.04
2025-07-27,SALARY DEPOSIT,0.0,139.01,54579.05
2025-07-28,INSURANCE PREMIUM,206.64,0.0,54372.41
2025-07-29,ATM WITHDRAWAL,1037.34,0.0,53335.07
2025-07-30,DIVIDEND PAYMENT - Stevens-Ryan,0.0,309.12,53644.19
2025-07-31,INTEREST PAYMENT - Pitts-Jones,0.0,3840.65,57484.84
2025-08-01,ATM WITHDRAWAL,900.26,0.0,56584.58
2025-08-01,CUSTOMER PAYMENT - Randall-Schneider,0.0,147.14,56731.72
2025-08-02,CHECK DEPOSIT,0.0,1440.89,58172.61
2025-08-03,CHECK PAYMENT - Ware-Bryant,440.19,0.0,57732.42
2025-08-03,CREDIT CARD PAYMENT - Benton-Molina,1969.33,0.0,55763.09
2025-08-03,LOAN PROCEEDS,0.0,2107.97,57871.06
2025-08-03,INTEREST PAYMENT - Love-Hernandez,0.0,4502.36,62373.42
2025-08-04,REFUND,0.0,111.08,62484.5
2025-08-04,TRANSFER TO SAVINGS,364.9,0.0,62119.6
2025-08-04,CHECK DEPOSIT,0.0,2322.52,64442.12
