transaction_date,posting_date,reference,description,debit,credit,account_code,account_name
2025-05-23,2025-05-28,REF-14868,Though quality hundred over see pressure.,0.0,9783.16,5000,Purchases
2025-06-11,2025-06-13,REF-940721,Toward show type dark something field air.,0.0,5215.31,4030,Salaries Expense
2025-06-03,2025-06-06,REF-523234,Daughter else anything owner.,0.0,4489.0,1020,Inventory
2025-05-17,2025-05-18,REF-650567,Visit sell see front teacher not.,6167.63,0.0,1010,Accounts Receivable
2025-06-10,2025-06-11,REF-565198,Low arrive response our nothing clearly.,0.0,6904.16,5000,Purchases
2025-06-07,2025-06-10,REF-258249,Building glass expert whole.,1479.17,0.0,5000,Purchases
2025-05-14,2025-05-14,REF-965317,Nation need hair go company because nothing.,485.34,0.0,1020,Inventory
2025-05-19,2025-05-24,REF-354167,Nor above receive authority staff support start.,0.0,813.8,3000,Revenue
2025-05-30,2025-06-01,REF-870206,Job provide recent give law office go her.,5146.54,0.0,1020,Inventory
2025-06-09,2025-06-12,REF-732392,Present board accept like rich magazine.,9936.41,0.0,4010,Rent Expense
2025-06-04,2025-06-06,REF-967655,Republican cover sport machine force American.,0.0,6451.02,1010,Accounts Receivable
2025-06-11,2025-06-12,REF-614729,Movie sound present pretty only ahead use.,6117.92,0.0,1010,Accounts Receivable
2025-06-10,2025-06-14,REF-149003,Son management thought consider.,8951.95,0.0,4010,Rent Expense
2025-06-03,2025-06-03,REF-789037,Sort rich son until understand.,5899.69,0.0,5000,Purchases
2025-05-23,2025-05-24,REF-856350,Art seat health race western.,0.0,9978.9,1010,Accounts Receivable
2025-05-24,2025-05-25,REF-996449,Win site subject hit others.,0.0,1699.43,4000,Expenses
2025-06-12,2025-06-14,REF-574350,Democrat down store recognize idea focus can.,4505.81,0.0,3000,Revenue
2025-06-03,2025-06-08,REF-743536,Customer eight special among force discover.,4840.05,0.0,1020,Inventory
2025-05-22,2025-05-26,REF-669020,Leg degree exist help level professor reduce.,4085.24,0.0,3000,Revenue
2025-06-08,2025-06-11,REF-892282,Save than develop.,0.0,7187.47,1020,Inventory
2025-06-08,2025-06-08,REF-775740,Security hold include at prove involve.,0.0,4313.68,4020,Utilities Expense
2025-05-30,2025-05-31,REF-810095,Our reality situation see claim include look.,1414.7,0.0,3000,Revenue
2025-06-05,2025-06-09,REF-37786,Bad better action stage involve moment fast.,0.0,3353.52,2000,Accounts Payable
2025-05-28,2025-05-30,REF-931837,Defense seat business president increase above.,0.0,3357.68,4010,Rent Expense
2025-06-04,2025-06-08,REF-887827,Specific group agreement rather others.,0.0,9975.33,5000,Purchases
2025-05-27,2025-06-01,REF-70461,Doctor her give country any.,0.0,787.86,1010,Accounts Receivable
2025-05-26,2025-05-28,REF-910085,Will despite method.,9295.44,0.0,4030,Salaries Expense
2025-05-27,2025-05-29,REF-892060,Turn new food compare house garden.,3584.54,0.0,4030,Salaries Expense
