transaction_date,posting_date,reference,description,debit,credit,account_code,account_name
2025-06-09,2025-06-09,REF-799063,Little method allow evening investment full.,6968.58,0.0,5000,Purchases
2025-06-07,2025-06-07,REF-612630,Each heart person rock.,0.0,424.13,4030,Salaries Expense
2025-05-30,2025-06-01,REF-795661,Fact ever whole.,9136.29,0.0,1010,Accounts Receivable
2025-06-07,2025-06-09,REF-414827,Method explain employee read capital.,0.0,6691.93,4000,Expenses
2025-05-24,2025-05-25,REF-431250,Entire along name.,2000.59,0.0,2000,Accounts Payable
2025-06-02,2025-06-02,REF-446073,Let person truth stage wait.,3968.04,0.0,4010,Rent Expense
2025-05-24,2025-05-25,REF-81579,Maybe thank even perhaps including.,4788.05,0.0,1020,Inventory
2025-06-06,2025-06-07,REF-760150,Contain stuff week pay develop.,2071.38,0.0,2000,Accounts Payable
2025-05-25,2025-05-25,REF-239704,Many option hand long.,0.0,2458.09,1010,Accounts Receivable
2025-05-13,2025-05-18,REF-554284,Suddenly call dark never receive oil word city.,0.0,685.12,5000,Purchases
2025-06-06,2025-06-07,REF-168321,Remember work pattern.,0.0,8814.98,5000,Purchases
2025-05-19,2025-05-23,REF-797019,A security what.,0.0,9062.6,5000,Purchases
2025-06-09,2025-06-11,REF-284141,Camera expert trial rest system.,6836.41,0.0,4020,Utilities Expense
2025-06-04,2025-06-06,REF-717124,Everybody at market grow use.,1014.93,0.0,4010,Rent Expense
2025-06-11,2025-06-16,REF-422095,Ground want group thousand must.,5419.93,0.0,3000,Revenue
2025-06-10,2025-06-12,REF-202079,Help effort exactly recent part share recent explain.,8648.08,0.0,3000,Revenue
2025-06-03,2025-06-05,REF-5801,Also event today idea.,0.0,3315.02,4010,Rent Expense
2025-05-29,2025-06-01,REF-536635,International against this against professor board.,0.0,7301.94,4000,Expenses
2025-05-23,2025-05-25,REF-237252,West history about wrong part.,0.0,4923.78,2000,Accounts Payable
2025-06-08,2025-06-08,REF-284259,Boy position drive.,5589.41,0.0,4020,Utilities Expense
2025-05-27,2025-05-29,REF-156777,Born staff safe various.,4554.37,0.0,3000,Revenue
2025-06-03,2025-06-04,REF-95689,Behavior first statement business forward quite ask.,0.0,957.43,1020,Inventory
2025-06-11,2025-06-16,REF-618313,Challenge Mrs among seek foreign blood.,0.0,61.19,5000,Purchases
2025-05-28,2025-05-29,REF-497597,Worry official rock even occur.,0.0,8349.75,5000,Purchases
2025-06-07,2025-06-07,REF-547433,Edge organization forget certain week other land.,0.0,8843.81,4030,Salaries Expense
