transaction_date,posting_date,reference,description,debit,credit,account_code,account_name
2025-07-17,2025-07-17,REF-532797,Seven only fact table cultural seven school activity.,814.86,0.0,4010,Rent Expense
2025-06-29,2025-07-04,REF-574192,Some tough subject production.,565.9,0.0,4010,Rent Expense
2025-07-15,2025-07-16,REF-124831,Speak live yourself threat.,0.0,5733.56,1010,Accounts Receivable
2025-07-20,2025-07-21,REF-607837,Phone heavy Republican computer anything day.,4623.04,0.0,1000,Cash
2025-06-25,2025-06-28,REF-437191,Section system training black off everybody.,6892.84,0.0,1010,Accounts Receivable
2025-07-09,2025-07-12,REF-329275,Sort leave forward manager recently least field believe.,374.22,0.0,2000,Accounts Payable
2025-07-12,2025-07-14,REF-190766,Talk which most environmental tree.,0.0,3043.59,3000,Revenue
2025-06-23,2025-06-27,REF-404452,Society threat author eye.,0.0,4117.95,2000,Accounts Payable
2025-07-10,2025-07-10,REF-894723,Begin knowledge next station yard everything child.,0.0,80.41,2000,Accounts Payable
2025-07-15,2025-07-15,REF-892322,Beat add sea next hear home.,6426.26,0.0,1010,Accounts Receivable
2025-07-16,2025-07-17,REF-260649,Cup before quickly economic more.,3935.34,0.0,3000,Revenue
2025-07-21,2025-07-24,REF-987435,Treatment not nation this buy take day.,8375.56,0.0,3000,Revenue
2025-07-05,2025-07-06,REF-366491,Likely develop method listen few wrong behavior result.,0.0,183.96,1010,Accounts Receivable
2025-07-19,2025-07-24,REF-672070,Artist student well Mrs.,0.0,6895.02,5000,Purchases
2025-07-08,2025-07-09,REF-63077,Financial consider action north thing value.,1424.2,0.0,1010,Accounts Receivable
2025-07-07,2025-07-11,REF-563216,Treat continue despite front.,0.0,2957.72,2000,Accounts Payable
2025-07-08,2025-07-13,REF-715942,Make family visit PM son guy store.,1756.75,0.0,4030,Salaries Expense
2025-07-09,2025-07-10,REF-449104,Practice number whose collection.,0.0,1849.38,1010,Accounts Receivable
2025-06-24,2025-06-27,REF-670787,Together care cold bar list.,0.0,8802.69,1010,Accounts Receivable
2025-06-28,2025-06-30,REF-538547,Change design event claim treatment environment.,0.0,9094.94,5000,Purchases
2025-06-28,2025-07-01,REF-844797,Mission piece study piece almost north end.,0.0,635.59,5000,Purchases
2025-06-28,2025-07-01,REF-534275,The me evidence cup several.,3943.97,0.0,1000,Cash
2025-06-29,2025-07-02,REF-257564,Set wait public area talk Congress detail every.,6780.2,0.0,4030,Salaries Expense
