transaction_date,posting_date,reference,description,debit,credit,account_code,account_name
2025-05-16,2025-05-17,REF-911015,Benefit form road because city shake away.,0.0,974.5,5000,Purchases
2025-05-16,2025-05-20,REF-382136,Study road also far off.,2031.8,0.0,4030,Salaries Expense
2025-06-02,2025-06-02,REF-978138,Social spring onto my receive exactly.,6449.16,0.0,4030,Salaries Expense
2025-05-25,2025-05-28,REF-407948,Left modern how production foot.,0.0,5366.37,5000,Purchases
2025-05-26,2025-05-27,REF-256897,Offer accept magazine.,1453.4,0.0,3000,Revenue
2025-05-22,2025-05-22,REF-265380,Camera back recognize ability company tell.,2505.52,0.0,1010,Accounts Receivable
2025-05-31,2025-06-05,REF-40681,This sit kid poor production the pattern.,0.0,2468.24,1010,Accounts Receivable
2025-05-21,2025-05-21,REF-69152,Daughter painting special street move tax people.,0.0,6934.29,2000,Accounts Payable
2025-06-02,2025-06-02,REF-969029,Paper support table mission enjoy.,4602.63,0.0,1010,Accounts Receivable
2025-06-09,2025-06-13,REF-207120,Democratic then example finish.,0.0,1180.37,4010,Rent Expense
2025-06-07,2025-06-09,REF-973377,Last remember forward already ever free.,0.0,9451.49,3000,Revenue
2025-06-10,2025-06-13,REF-294952,Daughter ok rather hand state.,7872.37,0.0,1020,Inventory
2025-05-24,2025-05-27,REF-730223,Safe support discover garden firm admit.,7418.1,0.0,1000,Cash
2025-05-26,2025-05-31,REF-2688,Many learn wind already.,2227.6,0.0,1020,Inventory
2025-06-01,2025-06-05,REF-517305,Family call smile key.,5690.31,0.0,2000,Accounts Payable
2025-06-06,2025-06-09,REF-257402,Mrs four me student cultural light month.,187.39,0.0,1020,Inventory
2025-05-25,2025-05-28,REF-307454,Couple whom TV improve better project opportunity.,7235.82,0.0,3000,Revenue
2025-05-23,2025-05-26,REF-723713,Day heavy while consumer feeling never.,0.0,9544.66,4000,Expenses
2025-05-14,2025-05-16,REF-738198,Per foreign say likely yard future else.,0.0,6105.86,3000,Revenue
2025-05-30,2025-06-04,REF-766831,Central current much yeah job now.,1590.01,0.0,5000,Purchases
2025-05-15,2025-05-17,REF-274593,Film scientist recognize recognize glass see sea bag.,0.0,6171.72,1010,Accounts Receivable
2025-05-23,2025-05-25,REF-318089,Red occur lawyer group father.,0.0,8549.72,2000,Accounts Payable
2025-05-29,2025-05-30,REF-116994,Bit morning risk human face try another.,0.0,9110.27,2000,Accounts Payable
2025-05-21,2025-05-23,REF-786247,Music east must across ok another stay arrive.,0.0,7903.5,5000,Purchases
2025-05-26,2025-05-29,REF-411652,Kitchen use put figure speech.,0.0,1778.79,1020,Inventory
2025-05-24,2025-05-27,REF-453043,Push lead campaign past.,4550.2,0.0,4030,Salaries Expense
2025-05-17,2025-05-18,REF-842009,Dark imagine still opportunity source argue.,0.0,2183.04,1000,Cash
2025-05-26,2025-05-27,REF-728772,Argue between religious in.,4121.22,0.0,1020,Inventory
2025-05-25,2025-05-29,REF-828900,Majority bank either without certain despite.,0.0,6623.54,4000,Expenses
2025-05-19,2025-05-24,REF-402754,Forget sit mind.,0.0,9941.73,3000,Revenue
2025-06-04,2025-06-07,REF-380985,Thing human really past walk.,307.53,0.0,3000,Revenue
2025-05-17,2025-05-21,REF-961176,Half move green newspaper when choice.,5218.39,0.0,5000,Purchases
2025-05-22,2025-05-26,REF-291435,Act partner various oil left pay note.,0.0,3580.65,3000,Revenue
2025-06-04,2025-06-06,REF-235217,Heavy middle something house show price cultural.,0.0,4450.6,1000,Cash
2025-05-15,2025-05-19,REF-334862,Trial statement thus better.,0.0,4286.31,1000,Cash
2025-06-07,2025-06-08,REF-77673,American still how contain sure want sister.,1185.5,0.0,1010,Accounts Receivable
2025-06-10,2025-06-14,REF-583935,Keep from trial wrong carry wish know prepare.,3523.9,0.0,1020,Inventory
2025-05-19,2025-05-19,REF-605352,Vote identify claim wrong.,8515.01,0.0,4030,Salaries Expense
2025-05-26,2025-05-29,REF-539760,Rise now early would.,5244.12,0.0,5000,Purchases
2025-05-23,2025-05-25,REF-444953,Appear cause statement thousand lead.,0.0,1048.47,2000,Accounts Payable
2025-05-18,2025-05-20,REF-251986,Head race know possible sign.,3204.83,0.0,1000,Cash
2025-05-16,2025-05-21,REF-945281,Fast college available paper cultural especially structure.,3807.85,0.0,4010,Rent Expense
2025-05-19,2025-05-24,REF-150431,Go run fine cause best lead total.,6496.11,0.0,4020,Utilities Expense
2025-05-27,2025-05-30,REF-317161,Nature bit strong down message standard.,0.0,6555.0,2000,Accounts Payable
2025-06-02,2025-06-04,REF-21906,Else few him traditional and believe guy.,0.0,3255.2,1010,Accounts Receivable
2025-06-07,2025-06-07,REF-814862,How country investment.,0.0,6731.26,4020,Utilities Expense
2025-06-07,2025-06-07,REF-195983,Major baby issue like tend find.,0.0,6797.06,5000,Purchases
2025-05-29,2025-05-29,REF-699227,These hand American more stuff lose it.,0.0,9417.38,4020,Utilities Expense
2025-06-08,2025-06-12,REF-283269,Yet challenge evidence often add line.,8694.52,0.0,1010,Accounts Receivable
2025-05-24,2025-05-26,REF-563543,Appear response talk spend.,3508.1,0.0,1010,Accounts Receivable
2025-05-26,2025-05-27,REF-21391,Relate mouth like believe.,0.0,9893.07,1020,Inventory
2025-06-10,2025-06-10,REF-687429,Significant rest inside before design deep.,9722.96,0.0,5000,Purchases
2025-05-18,2025-05-18,REF-805266,Rather real two life technology TV.,6361.56,0.0,4020,Utilities Expense
2025-05-18,2025-05-22,REF-835100,Along here value growth.,1888.5,0.0,5000,Purchases
2025-06-02,2025-06-06,REF-911229,Eight raise general.,0.0,5446.44,4010,Rent Expense
2025-05-23,2025-05-24,REF-297955,Him owner indeed the.,4850.9,0.0,2000,Accounts Payable
2025-05-18,2025-05-21,REF-919354,Usually plant political among.,8306.34,0.0,4020,Utilities Expense
2025-06-11,2025-06-11,REF-617691,Return appear even.,9197.1,0.0,1020,Inventory
2025-05-15,2025-05-17,REF-117526,Contain Mrs cost old pressure.,0.0,23.17,4000,Expenses
2025-06-05,2025-06-09,REF-713921,Heart pay light effect.,6804.13,0.0,4020,Utilities Expense
2025-06-12,2025-06-17,REF-369887,Reason mind defense policy world.,8753.94,0.0,1020,Inventory
2025-05-16,2025-05-17,REF-292491,Forward gun mother executive almost good.,0.0,4943.43,1000,Cash
2025-05-22,2025-05-27,REF-165530,Scientist throw special their much hair read.,0.0,389.58,1000,Cash
2025-05-23,2025-05-27,REF-401564,Environment region in letter.,124.32,0.0,4000,Expenses
2025-05-27,2025-06-01,REF-294740,Week already evening.,0.0,1819.2,1010,Accounts Receivable
2025-06-08,2025-06-09,REF-684279,Modern soldier arrive watch quite majority which.,0.0,3743.43,1010,Accounts Receivable
2025-05-19,2025-05-22,REF-162264,Might wish war store leave unit.,0.0,1088.58,4020,Utilities Expense
