transaction_date,posting_date,reference,description,debit,credit,account_code,account_name
2025-05-29,2025-06-02,REF-758475,Music citizen theory career ever.,3508.33,0.0,2000,Accounts Payable
2025-05-19,2025-05-23,REF-838660,Administration very already doctor.,6031.09,0.0,4020,Utilities Expense
2025-05-14,2025-05-15,REF-954907,Professional than technology detail quality nice other.,0.0,3920.97,4020,Utilities Expense
2025-05-21,2025-05-25,REF-399793,State account side attention million address wear.,0.0,6068.8,1000,Cash
2025-06-02,2025-06-07,REF-213361,Clear chance example prepare east.,0.0,7542.54,1020,Inventory
2025-06-07,2025-06-11,REF-629917,Pass home evening according contain most though trial.,0.0,913.38,1020,Inventory
2025-05-22,2025-05-23,REF-987543,Image bank back after no participant tell.,3924.92,0.0,4000,Expenses
2025-05-17,2025-05-19,REF-513339,Race wide window white we first rest.,0.0,1543.75,3000,Revenue
2025-05-18,2025-05-23,REF-759869,Hotel arrive interview wrong sign.,7796.89,0.0,4030,Salaries Expense
2025-06-06,2025-06-07,REF-929220,Significant situation everyone leader prove president.,0.0,3650.97,4000,Expenses
2025-05-30,2025-06-04,REF-101326,Anything whether act true difference.,0.0,1638.11,4000,Expenses
2025-05-27,2025-05-31,REF-335744,Eight radio last different all difficult act.,0.0,1424.92,4010,Rent Expense
2025-06-02,2025-06-07,REF-131877,Property game perhaps such large particular.,9937.25,0.0,4000,Expenses
2025-05-30,2025-06-04,REF-731195,Science if sea less rock you.,0.0,2561.4,1020,Inventory
2025-05-18,2025-05-21,REF-163335,Account source east life peace.,175.46,0.0,1010,Accounts Receivable
2025-06-11,2025-06-13,REF-84140,Question try suddenly help former make.,485.73,0.0,4010,Rent Expense
2025-05-25,2025-05-26,REF-128954,Evening several future now during person city room.,1395.42,0.0,1000,Cash
2025-05-26,2025-05-30,REF-440683,Allow most quite car.,2484.02,0.0,4000,Expenses
2025-05-26,2025-05-29,REF-539820,Enjoy local truth understand though first significant.,9790.75,0.0,4030,Salaries Expense
2025-05-15,2025-05-18,REF-410238,Dinner effort part collection.,1671.03,0.0,4010,Rent Expense
2025-05-29,2025-06-03,REF-325026,Paper listen mouth employee dream seat.,0.0,1698.52,5000,Purchases
2025-05-30,2025-06-04,REF-430497,Ask decision can outside learn arrive why.,0.0,3550.42,2000,Accounts Payable
2025-05-14,2025-05-15,REF-586843,Back shake generation state investment.,3333.71,0.0,4010,Rent Expense
2025-05-29,2025-05-31,REF-683311,Relationship they certain yeah bed money western.,4506.26,0.0,4010,Rent Expense
2025-06-06,2025-06-09,REF-742361,Small identify sound.,0.0,4944.16,5000,Purchases
2025-06-11,2025-06-14,REF-483827,Many worry action.,1254.13,0.0,4010,Rent Expense
2025-06-07,2025-06-08,REF-665232,Detail they ago light mention.,5286.34,0.0,2000,Accounts Payable
2025-05-28,2025-06-01,REF-552901,Stage seem discover against main full civil.,1413.11,0.0,5000,Purchases
2025-06-09,2025-06-13,REF-590942,Place card best travel weight chair mean.,0.0,1734.35,4000,Expenses
2025-06-08,2025-06-12,REF-382064,Feel realize tough blue oil town media.,0.0,9408.31,1000,Cash
2025-06-03,2025-06-08,REF-667688,Trouble hit hot daughter.,5059.89,0.0,1020,Inventory
2025-06-01,2025-06-04,REF-260307,Key night sport that in health.,7204.78,0.0,3000,Revenue
2025-06-03,2025-06-08,REF-601079,Skin benefit friend official believe board water.,1492.35,0.0,5000,Purchases
2025-05-24,2025-05-29,REF-203573,All few scene page least option.,0.0,4186.54,4010,Rent Expense
2025-05-24,2025-05-26,REF-905914,Remain eight use theory whole rock increase.,0.0,7465.45,5000,Purchases
2025-06-09,2025-06-14,REF-240248,Sister some chance contain west.,0.0,4149.57,1010,Accounts Receivable
2025-05-24,2025-05-28,REF-771958,Travel off though method drive born.,2128.09,0.0,4020,Utilities Expense
2025-05-24,2025-05-25,REF-700407,Customer event change say enough term million.,356.42,0.0,4000,Expenses
2025-05-16,2025-05-19,REF-596013,Economy inside four.,129.29,0.0,4000,Expenses
2025-05-17,2025-05-18,REF-832580,History someone herself sense ten light enough.,292.49,0.0,4030,Salaries Expense
2025-06-11,2025-06-14,REF-849687,Moment another matter player.,6428.49,0.0,1010,Accounts Receivable
