transaction_date,posting_date,reference,description,debit,credit,account_code,account_name
2025-07-10,2025-07-10,REF-769219,Someone four democratic citizen reach talk evening.,1157.5,0.0,4030,Salaries Expense
2025-07-15,2025-07-20,REF-249602,May campaign subject coach seem million health.,0.0,5445.92,4020,Utilities Expense
2025-07-08,2025-07-12,REF-708157,Eye author ask drop rather sound commercial.,0.0,959.38,1010,Accounts Receivable
2025-07-05,2025-07-07,REF-267101,Create far ten.,5338.19,0.0,1020,Inventory
2025-07-22,2025-07-25,REF-31331,Car cultural paper movement.,7143.25,0.0,1000,Cash
2025-07-06,2025-07-09,REF-24695,Worry similar father good blue.,2978.06,0.0,5000,Purchases
2025-07-04,2025-07-05,REF-60635,Week worry management how.,4256.41,0.0,5000,Purchases
2025-07-10,2025-07-13,REF-354887,Factor discussion next training.,0.0,8151.32,1000,Cash
2025-07-21,2025-07-24,REF-152889,Relate industry window however mind decision.,2291.73,0.0,2000,Accounts Payable
2025-07-03,2025-07-04,REF-944478,Economy concern administration star.,8410.54,0.0,1020,Inventory
2025-07-01,2025-07-05,REF-644420,Choice evening evidence son.,5367.55,0.0,4000,Expenses
2025-06-28,2025-06-30,REF-157572,Around benefit behavior difference.,0.0,2385.42,5000,Purchases
2025-07-14,2025-07-18,REF-804278,Degree author degree store establish study.,4496.96,0.0,5000,Purchases
2025-06-27,2025-06-28,REF-830645,Two simple begin represent we.,6654.07,0.0,4020,Utilities Expense
2025-07-08,2025-07-08,REF-648128,Customer speech sister guess sea ready trade.,0.0,5114.83,4000,Expenses
2025-07-19,2025-07-20,REF-129467,Character talk catch.,9814.72,0.0,4020,Utilities Expense
2025-07-13,2025-07-14,REF-843383,Total past energy professor structure seek.,6346.38,0.0,2000,Accounts Payable
2025-07-07,2025-07-10,REF-716882,Center town onto small.,2897.72,0.0,4020,Utilities Expense
2025-07-03,2025-07-08,REF-414944,Large economic bar attorney.,0.0,3428.71,4010,Rent Expense
2025-07-07,2025-07-09,REF-530139,Month cost perhaps term son.,0.0,6029.45,1000,Cash
2025-07-08,2025-07-08,REF-208018,Benefit last treatment air fast surface case visit.,8427.72,0.0,4030,Salaries Expense
2025-07-13,2025-07-18,REF-193103,Choice medical movie.,0.0,2445.83,1020,Inventory
2025-07-01,2025-07-06,REF-266878,Prepare movie despite trial race customer.,0.0,5906.56,4020,Utilities Expense
2025-07-01,2025-07-04,REF-457462,Already very dream politics.,0.0,9593.02,4030,Salaries Expense
2025-07-19,2025-07-22,REF-459253,Investment western area well within result.,0.0,3033.61,1020,Inventory
2025-07-21,2025-07-21,REF-748329,Can box third arrive lot western so.,8661.01,0.0,2000,Accounts Payable
2025-07-17,2025-07-19,REF-385942,Me ground economic none have mean.,0.0,1067.27,3000,Revenue
2025-07-05,2025-07-09,REF-143827,American what since building.,0.0,1881.76,2000,Accounts Payable
2025-07-18,2025-07-19,REF-555671,Nor out choice onto type.,7425.2,0.0,3000,Revenue
2025-07-19,2025-07-20,REF-419508,Computer smile alone certain.,0.0,2486.4,1010,Accounts Receivable
