transaction_date,posting_date,reference,description,debit,credit,account_code,account_name
2025-06-24,2025-06-27,REF-219571,Main result perhaps why public today day.,0.0,5643.32,4020,Utilities Expense
2025-07-05,2025-07-07,REF-44919,Arm detail course Congress so positive.,2140.68,0.0,1010,Accounts Receivable
2025-07-14,2025-07-18,REF-743197,Notice space investment.,5039.07,0.0,1020,Inventory
2025-07-19,2025-07-24,REF-186741,Mouth threat scene.,0.0,2121.0,4010,Rent Expense
2025-06-22,2025-06-23,REF-326231,Glass assume window why there bar these.,7112.31,0.0,2000,Accounts Payable
2025-07-12,2025-07-16,REF-766761,Then program professional for family imagine two century.,0.0,8040.09,2000,Accounts Payable
2025-07-12,2025-07-13,REF-69434,Energy dark between section head result chance watch.,0.0,4013.63,4010,Rent Expense
2025-07-18,2025-07-21,REF-625958,Evening energy entire region and.,0.0,7308.45,1000,Cash
2025-06-27,2025-06-28,REF-609301,Seat article hand start.,0.0,1073.5,1010,Accounts Receivable
2025-06-30,2025-07-03,REF-941425,Compare hard cup reach serve.,2212.35,0.0,4000,Expenses
2025-07-05,2025-07-06,REF-422923,Brother tax significant significant.,6808.35,0.0,4000,Expenses
2025-07-17,2025-07-20,REF-366940,Want rather account may pretty speak.,0.0,676.87,1010,Accounts Receivable
2025-07-17,2025-07-20,REF-163198,Crime cause sister local.,0.0,8662.04,5000,Purchases
2025-07-01,2025-07-03,REF-413334,Most part food system tell view have same.,0.0,2205.36,4000,Expenses
2025-07-14,2025-07-17,REF-668997,Rise season system couple official Mr care any.,0.0,2963.33,4000,Expenses
2025-07-04,2025-07-04,REF-447647,Ten baby dark despite source.,0.0,5853.58,1000,Cash
2025-07-01,2025-07-02,REF-121493,Pressure great happy TV similar.,0.0,207.24,4020,Utilities Expense
2025-07-14,2025-07-15,REF-149557,Eat candidate it institution or concern thought.,2592.34,0.0,3000,Revenue
2025-07-13,2025-07-17,REF-393102,Subject again evidence baby civil culture.,0.0,9059.92,4030,Salaries Expense
2025-06-23,2025-06-27,REF-323477,Involve serve space agent control stay.,0.0,8864.53,1020,Inventory
2025-06-22,2025-06-24,REF-963622,Speak weight Mr sit boy perhaps class.,0.0,9981.02,1000,Cash
2025-07-20,2025-07-24,REF-50387,Design be policy bag.,0.0,1623.86,1000,Cash
2025-07-03,2025-07-03,REF-152802,Similar toward moment adult.,0.0,6627.88,4000,Expenses
2025-07-18,2025-07-23,REF-215617,Example reach than already rather production.,0.0,9634.03,1020,Inventory
2025-06-23,2025-06-23,REF-195225,Chair point so focus how theory stay.,3847.96,0.0,1000,Cash
2025-07-01,2025-07-06,REF-802591,Foreign call among here.,8833.4,0.0,1000,Cash
2025-07-04,2025-07-08,REF-696501,Agency film but stage.,5753.6,0.0,2000,Accounts Payable
2025-06-29,2025-06-30,REF-637888,Bed activity level our very father television.,7673.33,0.0,1000,Cash
2025-06-28,2025-07-01,REF-89239,Popular available spring instead identify.,0.0,9170.53,4030,Salaries Expense
2025-07-05,2025-07-07,REF-702000,Instead discover involve professor morning teacher center.,0.0,5407.18,4020,Utilities Expense
2025-06-24,2025-06-27,REF-101077,Job speak smile not determine.,7826.69,0.0,5000,Purchases
2025-06-26,2025-06-29,REF-563263,Above include create religious reality we.,0.0,9570.85,2000,Accounts Payable
2025-07-04,2025-07-04,REF-325756,Small together difficult yourself police individual of.,773.81,0.0,3000,Revenue
2025-06-26,2025-06-29,REF-962272,Hope you after stock.,53.6,0.0,4000,Expenses
2025-07-20,2025-07-21,REF-214025,Person TV season lawyer suffer.,8891.81,0.0,4000,Expenses
2025-06-29,2025-07-03,REF-792663,Commercial wife case enough.,0.0,3240.17,1010,Accounts Receivable
2025-07-14,2025-07-18,REF-271850,Specific PM their memory operation shoulder billion.,9208.45,0.0,4020,Utilities Expense
