transaction_date,posting_date,reference,description,debit,credit,account_code,account_name
2025-06-08,2025-06-12,REF-191998,Thus between door loss arrive.,9603.71,0.0,2000,Accounts Payable
2025-06-01,2025-06-06,REF-943000,See believe different necessary military.,0.0,295.07,2000,Accounts Payable
2025-06-07,2025-06-12,REF-212973,Sound way soldier direction various also on.,0.0,9014.77,4020,Utilities Expense
2025-05-30,2025-05-30,REF-518639,Under game total somebody.,2455.19,0.0,1020,Inventory
2025-05-14,2025-05-19,REF-185246,Sea many job past avoid six campaign.,0.0,5484.49,4020,Utilities Expense
2025-05-25,2025-05-25,REF-56099,Month certainly century week poor occur.,8078.14,0.0,1020,Inventory
2025-05-20,2025-05-20,REF-356267,Traditional if contain two worry main.,0.0,7470.48,5000,Purchases
2025-06-09,2025-06-12,REF-331419,Take mind bit when change care various.,3395.89,0.0,1020,Inventory
2025-05-25,2025-05-27,REF-91600,Add manage above air activity.,825.28,0.0,1000,Cash
2025-06-08,2025-06-09,REF-308808,Anyone various seven find use agree close.,0.0,6003.45,2000,Accounts Payable
2025-06-11,2025-06-11,REF-518870,Very second she up none simple.,4372.94,0.0,5000,Purchases
2025-05-28,2025-05-31,REF-244033,Popular answer candidate add old pressure yes.,4371.92,0.0,3000,Revenue
2025-05-30,2025-05-30,REF-634159,Growth ground recognize anyone southern.,3974.52,0.0,1000,Cash
2025-06-12,2025-06-12,REF-733392,Work brother kind ok easy mission.,0.0,2717.83,5000,Purchases
2025-05-18,2025-05-18,REF-586641,Bed what cut continue.,7649.11,0.0,4010,Rent Expense
2025-05-17,2025-05-18,REF-893693,Start nice country per instead place.,0.0,5726.16,1000,Cash
2025-05-19,2025-05-22,REF-178923,Remain apply prevent official north practice left.,5747.29,0.0,4020,Utilities Expense
2025-05-28,2025-05-29,REF-167878,Best second particularly.,0.0,311.43,4030,Salaries Expense
2025-06-10,2025-06-15,REF-613312,Action last fast take improve also between.,9063.91,0.0,1010,Accounts Receivable
2025-06-03,2025-06-05,REF-507212,Off once affect civil eye walk difficult.,0.0,2397.9,5000,Purchases
2025-06-11,2025-06-13,REF-37723,Charge relationship involve use move.,9038.6,0.0,2000,Accounts Payable
