transaction_date,posting_date,reference,description,debit,credit,account_code,account_name
2025-07-22,2025-07-26,REF-841544,Nice third difficult buy often.,2343.3,0.0,5000,Purchases
2025-07-10,2025-07-14,REF-478552,Big message along modern born need expect.,0.0,7237.23,1000,Cash
2025-07-08,2025-07-08,REF-643100,Buy seat state area player pay yeah effect.,2768.28,0.0,4000,Expenses
2025-07-19,2025-07-20,REF-370198,Behavior voice could unit box try.,0.0,6724.51,4030,Salaries Expense
2025-07-19,2025-07-21,REF-192294,Voice address we former knowledge.,6186.73,0.0,1010,Accounts Receivable
2025-07-13,2025-07-14,REF-703550,According our force treatment Mrs why deal may.,0.0,8387.51,2000,Accounts Payable
2025-08-01,2025-08-05,REF-702197,Bar clearly then everything.,4078.48,0.0,4030,Salaries Expense
2025-07-19,2025-07-21,REF-625283,Choice visit win goal involve scientist bit.,9646.0,0.0,4000,Expenses
2025-07-07,2025-07-08,REF-379595,Against stand between focus news trip.,0.0,804.73,4030,Salaries Expense
2025-07-11,2025-07-15,REF-959043,See high for say reason score civil.,0.0,4897.85,4020,Utilities Expense
2025-07-10,2025-07-12,REF-348471,Voice trouble walk.,0.0,6018.43,1000,Cash
2025-07-12,2025-07-14,REF-431865,Around lot maintain life.,7248.79,0.0,1020,Inventory
2025-07-11,2025-07-12,REF-541478,Friend table tree.,0.0,9703.22,1020,Inventory
2025-07-25,2025-07-30,REF-304935,Argue pick say forward.,1317.87,0.0,4030,Salaries Expense
2025-07-13,2025-07-15,REF-224693,Career really travel back.,0.0,1140.39,4020,Utilities Expense
2025-08-01,2025-08-06,REF-840166,Other day pick first discuss.,5030.93,0.0,4030,Salaries Expense
2025-08-02,2025-08-03,REF-177273,Unit save Mrs often along.,1165.92,0.0,4000,Expenses
2025-07-05,2025-07-06,REF-109021,Movement believe after write resource use.,0.0,6191.82,4000,Expenses
2025-07-30,2025-08-03,REF-701463,Several him open discuss they house sound.,7876.41,0.0,3000,Revenue
2025-07-10,2025-07-11,REF-240836,Project conference explain turn.,3890.12,0.0,1020,Inventory
2025-07-16,2025-07-16,REF-956105,Position practice federal challenge sort.,5453.29,0.0,4020,Utilities Expense
2025-07-13,2025-07-16,REF-683588,Politics beautiful effect wrong student long.,9120.53,0.0,5000,Purchases
2025-08-02,2025-08-06,REF-711497,We since task office tend suggest.,2280.39,0.0,4010,Rent Expense
2025-07-17,2025-07-20,REF-668481,Let them his course.,0.0,751.8,1000,Cash
2025-07-07,2025-07-09,REF-625443,It contain choice key well director.,0.0,63.26,1010,Accounts Receivable
2025-07-19,2025-07-23,REF-821887,Most drug involve own stage crime him.,0.0,5259.85,2000,Accounts Payable
2025-07-12,2025-07-12,REF-395336,Fill need why travel personal character sign.,0.0,4197.89,4000,Expenses
2025-07-09,2025-07-13,REF-139629,Crime our every take owner.,8370.92,0.0,1010,Accounts Receivable
2025-07-14,2025-07-17,REF-823797,Father once impact catch the.,2808.49,0.0,5000,Purchases
2025-07-09,2025-07-12,REF-795615,Piece pretty pattern animal raise.,5548.05,0.0,5000,Purchases
2025-07-20,2025-07-22,REF-690145,Central senior hospital material paper development.,4064.78,0.0,2000,Accounts Payable
2025-07-30,2025-08-02,REF-390210,Who just reflect open food require.,0.0,5529.07,1020,Inventory
2025-07-18,2025-07-23,REF-2307,Forward individual must like budget beyond child.,7780.53,0.0,3000,Revenue
2025-07-08,2025-07-08,REF-288903,Act why pick say around because.,0.0,1585.23,4010,Rent Expense
2025-07-10,2025-07-13,REF-31435,Western at space hotel part.,1487.38,0.0,3000,Revenue
2025-07-12,2025-07-14,REF-973486,Impact piece last matter common about.,0.0,5512.2,1000,Cash
2025-08-04,2025-08-08,REF-525350,All responsibility interest.,0.0,3274.61,1010,Accounts Receivable
2025-07-20,2025-07-23,REF-944409,Effect Democrat several act employee.,0.0,8455.09,4010,Rent Expense
2025-07-25,2025-07-29,REF-538773,Business middle open reveal adult process.,0.0,7316.28,4000,Expenses
2025-07-30,2025-08-03,REF-27048,Be radio court.,2177.47,0.0,4030,Salaries Expense
2025-07-13,2025-07-16,REF-384279,Attorney for least board structure.,0.0,1758.28,5000,Purchases
2025-07-08,2025-07-11,REF-566566,Pm risk education step room reality.,2199.35,0.0,1000,Cash
2025-07-11,2025-07-15,REF-147640,Foot short stage view modern wonder.,5222.65,0.0,2000,Accounts Payable
2025-07-05,2025-07-07,REF-25632,Almost day small.,3591.72,0.0,1010,Accounts Receivable
2025-07-11,2025-07-12,REF-194948,Newspaper turn case member behavior.,7883.99,0.0,1010,Accounts Receivable
2025-07-11,2025-07-13,REF-684291,Really step send time wish training early.,0.0,8619.51,1010,Accounts Receivable
2025-07-13,2025-07-18,REF-887554,Set order political doctor process.,7336.48,0.0,4030,Salaries Expense
2025-07-22,2025-07-26,REF-470749,Continue fill girl space employee heart adult sit.,0.0,4771.37,5000,Purchases
2025-07-06,2025-07-07,REF-518349,Foot nature forget.,0.0,7955.86,2000,Accounts Payable
2025-07-17,2025-07-18,REF-415279,Check age series long tonight.,84.46,0.0,5000,Purchases
2025-07-24,2025-07-25,REF-589686,Yet young employee list degree.,1050.4,0.0,3000,Revenue
2025-07-27,2025-07-31,REF-510430,Wife market stop very identify.,0.0,2824.28,2000,Accounts Payable
2025-07-29,2025-08-01,REF-916325,Oil cup mean officer.,7689.68,0.0,1010,Accounts Receivable
2025-07-20,2025-07-23,REF-186472,Drive rock position.,7655.93,0.0,1020,Inventory
2025-07-10,2025-07-12,REF-657827,Week ten identify evening each trade.,0.0,8527.41,4030,Salaries Expense
