transaction_date,posting_date,reference,description,debit,credit,account_code,account_name
2025-06-10,2025-06-15,REF-473078,Message agent suggest full.,5329.71,0.0,1020,Inventory
2025-05-15,2025-05-18,REF-497667,Rock forget world eat several space send.,2230.79,0.0,1010,Accounts Receivable
2025-05-13,2025-05-16,REF-195863,Response cover appear space.,257.71,0.0,4030,Salaries Expense
2025-06-10,2025-06-13,REF-492962,Stop protect view sure show we.,0.0,2350.57,4010,Rent Expense
2025-05-20,2025-05-21,REF-526895,Travel rate decade anyone cost top.,0.0,4049.12,5000,Purchases
2025-05-27,2025-05-28,REF-444418,Beat hundred leg name.,0.0,4043.19,4020,Utilities Expense
2025-05-16,2025-05-20,REF-452361,Various discuss child couple grow.,5613.21,0.0,5000,Purchases
2025-05-30,2025-06-04,REF-255726,Small score two.,0.0,3049.46,1000,Cash
2025-06-02,2025-06-02,REF-238633,Model herself catch site.,5173.84,0.0,4000,Expenses
2025-05-29,2025-05-31,REF-43429,End best law mission standard.,0.0,4820.14,4020,Utilities Expense
2025-05-25,2025-05-30,REF-221985,Fish seek show must face already.,4979.52,0.0,1020,Inventory
2025-05-17,2025-05-17,REF-745272,East federal money believe.,0.0,1084.27,4030,Salaries Expense
2025-06-08,2025-06-08,REF-183428,Get star position above above catch.,0.0,4346.2,1000,Cash
2025-05-30,2025-05-31,REF-977105,Have season eye while wind morning tax seven.,3269.25,0.0,4000,Expenses
2025-05-30,2025-05-31,REF-452710,Fall part coach.,0.0,1198.23,1010,Accounts Receivable
2025-06-04,2025-06-07,REF-443630,Feel now city cut.,7013.77,0.0,1000,Cash
2025-06-01,2025-06-04,REF-41390,Lose west table score democratic admit.,0.0,8367.63,1010,Accounts Receivable
2025-06-05,2025-06-09,REF-844714,Question all anything ok paper system mind.,0.0,1181.51,1020,Inventory
2025-05-24,2025-05-25,REF-979339,And community perform admit why.,0.0,7406.7,4020,Utilities Expense
2025-05-16,2025-05-16,REF-651144,Personal stop west travel collection.,8477.82,0.0,2000,Accounts Payable
2025-06-02,2025-06-06,REF-270316,Lead beyond low professional night between large.,0.0,5238.77,4010,Rent Expense
2025-05-27,2025-05-28,REF-807874,Decision investment establish direction modern.,7244.1,0.0,1020,Inventory
2025-06-07,2025-06-07,REF-312390,Year pressure idea all letter attention cost.,0.0,9032.92,3000,Revenue
2025-05-22,2025-05-22,REF-254552,New speech push data carry describe.,9738.35,0.0,1020,Inventory
2025-05-31,2025-06-04,REF-313894,Under another PM course get decide return.,0.0,6185.64,4020,Utilities Expense
2025-05-26,2025-05-29,REF-168146,Current could about quickly message debate wall.,4488.87,0.0,1020,Inventory
2025-05-25,2025-05-30,REF-309794,Try ok weight seat kitchen direction seven.,0.0,3597.18,4030,Salaries Expense
2025-06-10,2025-06-13,REF-508059,Before time foreign president.,0.0,3396.53,4020,Utilities Expense
2025-06-04,2025-06-05,REF-470998,Hard goal culture during tell.,0.0,4377.33,4030,Salaries Expense
2025-05-15,2025-05-17,REF-757235,Strategy camera show change including sea.,5446.38,0.0,4030,Salaries Expense
2025-05-27,2025-05-30,REF-216145,Letter population individual reason best.,8394.51,0.0,4020,Utilities Expense
2025-05-26,2025-05-31,REF-975127,Respond late too worry weight.,1284.06,0.0,1020,Inventory
2025-06-05,2025-06-09,REF-567503,To well event sort ok million shoulder.,4927.74,0.0,4000,Expenses
2025-06-02,2025-06-04,REF-682805,Poor fly bar movement.,0.0,6102.3,4020,Utilities Expense
2025-06-05,2025-06-07,REF-53723,Voice leg work idea cultural rich fill with.,0.0,9423.27,1020,Inventory
2025-06-08,2025-06-10,REF-306635,Management account south administration computer her us.,5399.13,0.0,4020,Utilities Expense
2025-06-06,2025-06-06,REF-118923,Power both response general source agency.,0.0,2561.66,2000,Accounts Payable
2025-06-01,2025-06-01,REF-394124,Able station establish check cause.,6490.48,0.0,3000,Revenue
2025-05-20,2025-05-21,REF-686367,Three mouth piece human could sit reflect language.,6447.1,0.0,4000,Expenses
2025-05-31,2025-06-05,REF-69535,Challenge ahead realize themselves.,7643.82,0.0,1000,Cash
2025-05-27,2025-05-29,REF-150293,Dog necessary official appear create.,0.0,3074.09,1000,Cash
2025-06-07,2025-06-11,REF-854544,Start maybe model structure mind.,0.0,5643.62,1020,Inventory
2025-06-06,2025-06-10,REF-420701,Growth success gas most.,0.0,3669.7,3000,Revenue
2025-05-15,2025-05-20,REF-442262,Laugh bed bed throughout wide modern.,0.0,6620.49,4030,Salaries Expense
2025-05-19,2025-05-20,REF-758363,Build exactly west bar establish information.,0.0,364.63,4010,Rent Expense
2025-05-17,2025-05-19,REF-897202,Artist cover region against five maintain school.,0.0,9119.55,1020,Inventory
2025-05-22,2025-05-22,REF-17271,Shoulder from book dark some owner.,0.0,8094.88,1020,Inventory
2025-05-22,2025-05-26,REF-732281,Citizen financial majority human writer deal.,5087.24,0.0,3000,Revenue
2025-06-04,2025-06-09,REF-149393,Music behind wall table control rate suffer.,7132.65,0.0,4000,Expenses
2025-06-05,2025-06-05,REF-875240,Today turn exist police.,6074.68,0.0,4000,Expenses
2025-05-18,2025-05-23,REF-8598,Entire admit capital high a let.,7121.91,0.0,4010,Rent Expense
2025-05-17,2025-05-18,REF-845135,Else pull piece sometimes.,1495.7,0.0,1000,Cash
2025-05-29,2025-05-31,REF-135412,He build machine wait fall establish city toward.,4538.54,0.0,4030,Salaries Expense
2025-05-18,2025-05-19,REF-495730,Reach campaign agent nature make my debate.,0.0,1819.44,4010,Rent Expense
2025-05-22,2025-05-27,REF-536288,Again successful school discover heart everything.,0.0,6650.72,3000,Revenue
2025-06-05,2025-06-10,REF-520684,Study on like learn be fear.,0.0,6232.29,4020,Utilities Expense
2025-06-09,2025-06-14,REF-686282,Change during lot room approach cultural.,0.0,6453.13,3000,Revenue
2025-06-04,2025-06-04,REF-554565,Question music government only position.,3209.29,0.0,2000,Accounts Payable
2025-06-01,2025-06-02,REF-691152,Affect radio expect.,0.0,7070.64,1010,Accounts Receivable
2025-06-10,2025-06-11,REF-54805,Nothing everybody religious however per forward.,0.0,8754.58,4020,Utilities Expense
2025-05-28,2025-05-29,REF-821876,Sometimes yourself guy chair air baby name.,0.0,5497.63,1010,Accounts Receivable
2025-05-19,2025-05-21,REF-597931,Table service positive tonight fact population.,0.0,8289.85,2000,Accounts Payable
2025-05-23,2025-05-26,REF-415766,Environment we majority simple treat.,0.0,9508.58,1010,Accounts Receivable
2025-05-25,2025-05-27,REF-246522,Quality continue film laugh help.,0.0,6216.94,4000,Expenses
2025-06-07,2025-06-11,REF-857392,Fish decade various air meet.,1727.61,0.0,5000,Purchases
2025-05-26,2025-05-31,REF-428138,Water instead term according guy about.,0.0,7049.76,5000,Purchases
2025-05-31,2025-05-31,REF-813902,Difference lose can play.,0.0,7973.82,5000,Purchases
2025-05-16,2025-05-17,REF-194556,Physical issue run near toward oil.,5129.39,0.0,2000,Accounts Payable
2025-06-09,2025-06-13,REF-650137,Property create institution available increase.,1324.03,0.0,4010,Rent Expense
2025-05-17,2025-05-22,REF-344046,Federal receive pull.,0.0,1100.92,4030,Salaries Expense
2025-06-05,2025-06-06,REF-895249,Traditional institution season television apply social.,0.0,3893.1,4020,Utilities Expense
2025-05-17,2025-05-18,REF-644748,Indicate half school kind return war president company.,2580.12,0.0,4020,Utilities Expense
2025-05-25,2025-05-26,REF-401975,Whom manager summer must.,0.0,902.07,5000,Purchases
2025-05-18,2025-05-23,REF-918346,Born financial chance include.,5032.51,0.0,1000,Cash
2025-06-01,2025-06-06,REF-556304,Serious little we ahead environment behavior.,4780.89,0.0,1010,Accounts Receivable
2025-05-31,2025-06-05,REF-409607,School describe there seek along star evening.,6350.62,0.0,4030,Salaries Expense
2025-05-22,2025-05-22,REF-538562,Second simple happen home old wait.,0.0,5295.56,4030,Salaries Expense
2025-05-19,2025-05-19,REF-594577,Long trade during month maybe movement.,0.0,9701.58,4030,Salaries Expense
2025-06-04,2025-06-04,REF-710832,Travel front able police hair.,2130.25,0.0,3000,Revenue
2025-05-31,2025-06-05,REF-556411,Yes still end article concern relationship.,0.0,7219.09,2000,Accounts Payable
2025-05-25,2025-05-30,REF-606004,Have down perform personal do future enter.,0.0,8210.61,1000,Cash
2025-06-02,2025-06-02,REF-374713,Second some try likely individual.,0.0,7654.4,3000,Revenue
2025-05-25,2025-05-28,REF-557002,Watch hotel capital sense list drive fact.,0.0,64.92,4000,Expenses
2025-05-21,2025-05-23,REF-479026,House contain brother name real.,3918.05,0.0,2000,Accounts Payable
2025-05-14,2025-05-14,REF-256706,Realize though should how still represent campaign eat.,849.49,0.0,4030,Salaries Expense
2025-05-24,2025-05-28,REF-843907,Both business price left.,1674.12,0.0,3000,Revenue
2025-05-25,2025-05-28,REF-250940,Role produce discuss Mrs.,0.0,6383.99,1010,Accounts Receivable
2025-05-24,2025-05-27,REF-583917,Team leader lot mean air ever oil.,9579.67,0.0,4010,Rent Expense
2025-05-15,2025-05-18,REF-239257,Fine drive ten.,0.0,5285.26,4020,Utilities Expense
2025-05-18,2025-05-23,REF-858860,Phone science teacher discuss then various.,8333.86,0.0,1000,Cash
2025-06-12,2025-06-17,REF-414884,Garden summer focus everybody west born.,3696.12,0.0,1010,Accounts Receivable
2025-05-24,2025-05-26,REF-158035,Leader success public cover western gun return.,5302.78,0.0,1000,Cash
2025-05-20,2025-05-24,REF-428149,According follow close couple cold reason.,4566.65,0.0,3000,Revenue
2025-06-02,2025-06-07,REF-135909,Over yeah card Mrs.,6194.76,0.0,3000,Revenue
2025-05-29,2025-06-03,REF-73424,Force director difficult health.,0.0,8269.48,3000,Revenue
2025-06-08,2025-06-11,REF-598455,By benefit visit today successful white.,9825.29,0.0,1020,Inventory
2025-05-29,2025-06-03,REF-741852,Campaign meeting sense measure.,0.0,415.77,4020,Utilities Expense
2025-06-04,2025-06-08,REF-598111,Rise speech size hot almost law.,0.0,7812.74,1000,Cash
2025-06-01,2025-06-02,REF-705291,Policy others field require.,324.66,0.0,1020,Inventory
2025-05-15,2025-05-15,REF-89086,Method democratic herself it however seat.,0.0,6362.15,1000,Cash
