transaction_date,posting_date,reference,description,debit,credit,account_code,account_name
2025-07-09,2025-07-14,REF-775852,Radio difficult instead collection court expert.,0.0,3672.02,1020,Inventory
2025-06-27,2025-07-01,REF-612137,With example deal commercial.,779.23,0.0,2000,Accounts Payable
2025-07-10,2025-07-12,REF-794977,Sense contain time major form television.,5015.27,0.0,4030,Salaries Expense
2025-07-20,2025-07-22,REF-165911,Technology use doctor economy artist.,4784.81,0.0,4020,Utilities Expense
2025-07-02,2025-07-04,REF-995198,Crime language common tree market.,4810.37,0.0,4030,Salaries Expense
2025-07-17,2025-07-19,REF-819147,Respond language information teach meeting for hold talk.,0.0,5504.93,4010,Rent Expense
2025-07-10,2025-07-15,REF-607602,Second prepare prove responsibility government.,0.0,8450.68,4010,Rent Expense
2025-07-01,2025-07-04,REF-893074,Property ability break ever program point along page.,0.0,1475.13,1000,Cash
2025-07-20,2025-07-21,REF-611762,Street five actually recent.,516.89,0.0,1010,Accounts Receivable
2025-06-22,2025-06-23,REF-553185,Both care like sound seat mention now.,9126.57,0.0,5000,Purchases
2025-07-11,2025-07-15,REF-777326,Act join end bad unit wonder market.,0.0,8239.41,5000,Purchases
2025-07-15,2025-07-15,REF-433842,Five concern rock turn.,9762.57,0.0,1020,Inventory
2025-07-03,2025-07-08,REF-147061,Call if paper final as specific.,9850.66,0.0,4030,Salaries Expense
2025-07-12,2025-07-16,REF-853093,Water their story enjoy middle could.,8291.21,0.0,1020,Inventory
2025-06-22,2025-06-26,REF-346644,Drug some body gas out indeed.,4795.64,0.0,4020,Utilities Expense
2025-06-29,2025-07-02,REF-73993,Surface woman building option material deep would.,0.0,2306.27,3000,Revenue
2025-07-12,2025-07-15,REF-263763,Few in report late.,0.0,4784.49,4030,Salaries Expense
2025-07-03,2025-07-03,REF-757871,Organization person push choose kid.,1655.38,0.0,4010,Rent Expense
2025-07-01,2025-07-04,REF-471313,Whose go newspaper class nearly share foreign source.,3354.91,0.0,5000,Purchases
2025-07-21,2025-07-24,REF-244690,Whatever cut big reveal former sea song particular.,7885.48,0.0,1020,Inventory
2025-07-07,2025-07-12,REF-164028,Test thank minute hope perhaps.,9463.96,0.0,1010,Accounts Receivable
2025-07-12,2025-07-12,REF-164941,Base future treatment husband development charge statement view.,0.0,2205.1,5000,Purchases
2025-06-27,2025-06-30,REF-744718,Hour current reveal gun.,0.0,7722.54,2000,Accounts Payable
2025-06-26,2025-06-29,REF-885561,Not bank raise kitchen.,1267.28,0.0,2000,Accounts Payable
2025-06-30,2025-07-05,REF-787180,Word pressure step.,1890.27,0.0,4020,Utilities Expense
2025-07-09,2025-07-13,REF-763984,Finish fish protect require drop.,8831.96,0.0,1010,Accounts Receivable
