transaction_date,posting_date,reference,description,debit,credit,account_code,account_name
2025-05-25,2025-05-26,REF-268059,Professor degree expert behavior shoulder series name.,0.0,3981.57,1020,Inventory
2025-05-23,2025-05-25,REF-890452,Note from energy avoid name other policy goal.,0.0,6365.64,4030,Salaries Expense
2025-06-11,2025-06-13,REF-36462,Then history move arrive TV dog.,0.0,9956.14,4020,Utilities Expense
2025-05-30,2025-06-04,REF-472860,Fine skin partner share line.,0.0,6068.4,4010,Rent Expense
2025-05-30,2025-06-04,REF-802532,After debate rate draw realize kind war various.,0.0,9103.75,3000,Revenue
2025-05-21,2025-05-22,REF-203660,Effect place movement perform he.,0.0,8966.72,5000,Purchases
2025-05-16,2025-05-16,REF-841237,Already ten lay pick national bring any.,8014.59,0.0,2000,Accounts Payable
2025-05-29,2025-05-30,REF-518608,Direction painting treatment score this smile.,0.0,9217.52,5000,Purchases
2025-05-25,2025-05-26,REF-936963,Former remember true yourself break official manager.,0.0,6888.07,4030,Salaries Expense
2025-06-05,2025-06-10,REF-599115,Mouth west herself collection degree.,8801.14,0.0,5000,Purchases
2025-05-28,2025-05-31,REF-668403,Quickly since news education.,0.0,4933.96,4010,Rent Expense
2025-06-08,2025-06-12,REF-450660,Line cause keep medical majority among majority above.,1641.61,0.0,4010,Rent Expense
2025-05-14,2025-05-14,REF-500396,Whether mission station among follow move want.,0.0,1171.45,3000,Revenue
2025-06-09,2025-06-10,REF-320870,Senior their opportunity quickly.,5811.97,0.0,1010,Accounts Receivable
2025-05-23,2025-05-28,REF-927704,Whose machine father ahead financial those magazine.,1927.77,0.0,3000,Revenue
2025-06-09,2025-06-09,REF-579942,Break range prepare seat.,0.0,5991.92,3000,Revenue
2025-06-02,2025-06-05,REF-84920,Executive market unit space very never.,0.0,5687.09,4000,Expenses
2025-06-03,2025-06-03,REF-490883,Eat present under player ok sometimes factor.,0.0,6014.05,3000,Revenue
2025-05-25,2025-05-26,REF-64075,Pass well organization above.,0.0,8847.99,3000,Revenue
2025-05-27,2025-05-31,REF-713082,Color walk actually officer nearly occur radio guy.,0.0,9603.34,1020,Inventory
2025-05-29,2025-06-01,REF-74434,Billion matter carry certain low brother.,0.0,4566.88,4010,Rent Expense
2025-06-03,2025-06-03,REF-938108,Arrive happen decade toward good close quickly.,1691.14,0.0,5000,Purchases
2025-06-11,2025-06-12,REF-355493,Anyone group president day arm good whatever else.,0.0,6567.19,3000,Revenue
2025-05-19,2025-05-19,REF-710418,Total more Mrs provide.,0.0,5367.35,4010,Rent Expense
2025-05-15,2025-05-16,REF-958900,Risk official national figure suddenly form environmental.,781.49,0.0,2000,Accounts Payable
2025-05-29,2025-06-03,REF-730629,Special share bring open.,0.0,3851.29,5000,Purchases
2025-05-25,2025-05-29,REF-545455,Report message doctor myself break.,0.0,1718.19,1000,Cash
2025-06-11,2025-06-12,REF-248792,Ahead customer give.,8940.42,0.0,1000,Cash
2025-06-06,2025-06-07,REF-433791,Fight Mr consumer pretty.,9130.9,0.0,4010,Rent Expense
2025-05-14,2025-05-19,REF-104313,Nothing right apply garden data lead.,0.0,9381.38,5000,Purchases
2025-05-26,2025-05-26,REF-494902,Long town decision century.,7443.27,0.0,1020,Inventory
2025-05-14,2025-05-19,REF-858048,Treat recent national cut sometimes goal hit.,3687.1,0.0,4030,Salaries Expense
2025-05-15,2025-05-18,REF-829183,Fast partner stuff purpose.,8007.95,0.0,4010,Rent Expense
